date,title,source,url,relevance_score,cross_referenced,times_seen
2026-03-25,Why digital resilience is critical for U.S. K-12 schools,eSchool News,https://www.eschoolnews.com/it-leadership/2026/03/23/why-digital-resilience-is-critical-for-u-s-k-12-schools/,26.0,no,3
2026-03-25,From fragmentation to fidelity: How Wayne-Westland built a literacy system that works,eSchool News,https://www.eschoolnews.com/innovative-teaching/2026/03/16/how-wayne-westland-built-a-literacy-system-that-works/,26.0,no,3
2026-03-25,AI Tools Support Personalized Learning in K–12 Education,EdTech Magazine,https://edtechmagazine.com/k12/article/2026/03/ai-tools-support-personalized-learning-k-12-education,57.4,yes,4
2026-03-25,Six Artificial Intelligence Data Trends to Watch,EdTech Magazine,https://edtechmagazine.com/k12/article/2026/03/six-artificial-intelligence-data-trends-watch,37.5,no,4
2026-03-25,AI Attendance Tracking: How Technology Can Help K–12 Districts Combat Chronic Absenteeism,EdTech Magazine,https://edtechmagazine.com/k12/article/2026/03/ai-attendance-tracking-how-technology-can-help-k-12-districts-combat-chronic-absenteeism-perfcon,36.5,no,4
2026-03-25,"A superintendent’s view: Engagement, not enforcement, is the answer to absenteeism",eSchool News,https://www.eschoolnews.com/educational-leadership/2026/03/17/engagement-not-enforcement-is-the-answer-to-absenteeism/,30.0,no,4
2026-03-25,Nearly half of high school students now use AI in college search,eSchool News,https://www.eschoolnews.com/digital-learning/2026/03/04/nearly-half-of-high-school-students-now-use-ai-in-college-search/,30.0,no,4
2026-03-25,Presidential Artificial Intelligence Challenge,AI4K12,https://ai4k12.org/presidential-artificial-intelligence-challenge/,28.7,yes,4
2026-03-25,How K–12 Schools Can Successfully Implement AR and VR in the Classroom,EdTech Magazine,https://edtechmagazine.com/k12/article/2026/03/how-k-12-schools-can-successfully-implement-ar-and-vr-classroom,28.5,no,4
2026-03-25,Network Security in Schools 2026: The Definitive Guide for K–12 Districts,EdTech Magazine,https://edtechmagazine.com/k12/article/2026/03/network-security-schools-2026-definitive-guide-k-12-districts-perfcon,27.5,no,4
2026-03-25,Why digital resilience is critical for U.S. K-12 schools,eSchool News,https://www.eschoolnews.com/it-leadership/2026/03/23/why-digital-resilience-is-critical-for-u-s-k-12-schools/,26.0,no,4
2026-03-25,From fragmentation to fidelity: How Wayne-Westland built a literacy system that works,eSchool News,https://www.eschoolnews.com/innovative-teaching/2026/03/16/how-wayne-westland-built-a-literacy-system-that-works/,26.0,no,4
2026-03-26,AI Tools Support Personalized Learning in K–12 Education,EdTech Magazine,https://edtechmagazine.com/k12/article/2026/03/ai-tools-support-personalized-learning-k-12-education,57.4,yes,5
2026-03-26,Six Artificial Intelligence Data Trends to Watch,EdTech Magazine,https://edtechmagazine.com/k12/article/2026/03/six-artificial-intelligence-data-trends-watch,37.5,no,5
2026-03-26,AI Attendance Tracking: How Technology Can Help K–12 Districts Combat Chronic Absenteeism,EdTech Magazine,https://edtechmagazine.com/k12/article/2026/03/ai-attendance-tracking-how-technology-can-help-k-12-districts-combat-chronic-absenteeism-perfcon,36.5,no,5
2026-03-26,"A superintendent’s view: Engagement, not enforcement, is the answer to absenteeism",eSchool News,https://www.eschoolnews.com/educational-leadership/2026/03/17/engagement-not-enforcement-is-the-answer-to-absenteeism/,30.0,no,5
2026-03-26,Nearly half of high school students now use AI in college search,eSchool News,https://www.eschoolnews.com/digital-learning/2026/03/04/nearly-half-of-high-school-students-now-use-ai-in-college-search/,30.0,no,5
2026-03-26,Presidential Artificial Intelligence Challenge,AI4K12,https://ai4k12.org/presidential-artificial-intelligence-challenge/,28.7,yes,5
2026-03-26,How K–12 Schools Can Successfully Implement AR and VR in the Classroom,EdTech Magazine,https://edtechmagazine.com/k12/article/2026/03/how-k-12-schools-can-successfully-implement-ar-and-vr-classroom,28.5,no,5
2026-03-26,Network Security in Schools 2026: The Definitive Guide for K–12 Districts,EdTech Magazine,https://edtechmagazine.com/k12/article/2026/03/network-security-schools-2026-definitive-guide-k-12-districts-perfcon,27.5,no,5
2026-03-26,Why digital resilience is critical for U.S. K-12 schools,eSchool News,https://www.eschoolnews.com/it-leadership/2026/03/23/why-digital-resilience-is-critical-for-u-s-k-12-schools/,26.0,no,5
2026-03-26,From fragmentation to fidelity: How Wayne-Westland built a literacy system that works,eSchool News,https://www.eschoolnews.com/innovative-teaching/2026/03/16/how-wayne-westland-built-a-literacy-system-that-works/,26.0,no,5
2026-03-27,AI Tools Support Personalized Learning in K–12 Education,EdTech Magazine,https://edtechmagazine.com/k12/article/2026/03/ai-tools-support-personalized-learning-k-12-education,57.4,yes,6
2026-03-27,Six Artificial Intelligence Data Trends to Watch,EdTech Magazine,https://edtechmagazine.com/k12/article/2026/03/six-artificial-intelligence-data-trends-watch,37.5,no,6
2026-03-27,AI Attendance Tracking: How Technology Can Help K–12 Districts Combat Chronic Absenteeism,EdTech Magazine,https://edtechmagazine.com/k12/article/2026/03/ai-attendance-tracking-how-technology-can-help-k-12-districts-combat-chronic-absenteeism-perfcon,36.5,no,6
2026-03-27,"A superintendent’s view: Engagement, not enforcement, is the answer to absenteeism",eSchool News,https://www.eschoolnews.com/educational-leadership/2026/03/17/engagement-not-enforcement-is-the-answer-to-absenteeism/,30.0,no,6
2026-03-27,Nearly half of high school students now use AI in college search,eSchool News,https://www.eschoolnews.com/digital-learning/2026/03/04/nearly-half-of-high-school-students-now-use-ai-in-college-search/,30.0,no,6
2026-03-27,Presidential Artificial Intelligence Challenge,AI4K12,https://ai4k12.org/presidential-artificial-intelligence-challenge/,28.7,yes,6
2026-03-27,How K–12 Schools Can Successfully Implement AR and VR in the Classroom,EdTech Magazine,https://edtechmagazine.com/k12/article/2026/03/how-k-12-schools-can-successfully-implement-ar-and-vr-classroom,28.5,no,6
2026-03-27,Network Security in Schools 2026: The Definitive Guide for K–12 Districts,EdTech Magazine,https://edtechmagazine.com/k12/article/2026/03/network-security-schools-2026-definitive-guide-k-12-districts-perfcon,27.5,no,6
2026-03-27,Why digital resilience is critical for U.S. K-12 schools,eSchool News,https://www.eschoolnews.com/it-leadership/2026/03/23/why-digital-resilience-is-critical-for-u-s-k-12-schools/,26.0,no,6
2026-03-27,From fragmentation to fidelity: How Wayne-Westland built a literacy system that works,eSchool News,https://www.eschoolnews.com/innovative-teaching/2026/03/16/how-wayne-westland-built-a-literacy-system-that-works/,26.0,no,6
2026-03-27,AI Literacy is Not Tool Mastery: How to Build Sustained Educator Capacity,Getting Smart,https://www.gettingsmart.com/2026/03/27/ai-literacy-is-not-tool-mastery-how-to-build-sustained-educator-capacity/,14.0,2.0,no,1
2026-03-27,The average length of current superintendents’ tenure? 5.4 years,K-12 Dive,https://www.k12dive.com/news/the-average-length-of-current-superintendent-tenures-54-years/815908/,5.0,2.0,no,1
2026-03-27,How educators can help students learn to navigate polarizing issues,K-12 Dive,https://www.k12dive.com/news/how-educators-can-help-students-learn-to-navigate-polarizing-issues/815678/,4.5,1.5,no,1
2026-03-27,"The AI skills gap is here, says AI company, and power users are pulling ahead",TechCrunch AI,https://techcrunch.com/2026/03/25/the-ai-skills-gap-is-here-says-ai-company-and-power-users-are-pulling-ahead/,4.5,1.5,no,1
2026-03-27,Acer Makes Esports Gaming More Accessible With Entry-Level Hardware,EdTech Magazine,https://edtechmagazine.com/k12/article/2026/03/acer-makes-esports-gaming-more-accessible-entry-level-hardware,4.0,2.0,no,1
2026-03-27,Test yourself on the past week’s K-12 news,K-12 Dive,https://www.k12dive.com/news/pop-quiz-test-k-12-news-march-23-2026/815861/,3.0,2.0,no,1
2026-03-27,"Grade 3-8 students need updated literacy skills supports, report says",K-12 Dive,https://www.k12dive.com/news/older-readers-literacy-academic-standards-AERDF-report/815682/,2.25,1.5,no,1
2026-03-27,Seeing sounds,MIT AI News,https://news.mit.edu/2026/seeing-sounds-mariano-salcedo-0326,2.0,2.0,no,1
2026-03-27,"DeKalb County prioritizes feedback on school closure, repurposing list",K-12 Dive,https://www.k12dive.com/news/dekalb-county-prioritizes-feedback-on-school-closure-repurposing-list/815752/,1.5,1.5,no,1
2026-03-27,What did teacher turnover look like during the COVID-19 pandemic?,K-12 Dive,https://www.k12dive.com/news/what-did-teacher-turnover-look-like-during-the-covid-19-pandemic/815734/,1.5,1.5,no,1
